"TimePeriod","GeoTypeDesc","GeoID","GeoRank","BoroID","Borough","Geography","Area","Number","Percent","Age-adjusted percent"
"2015","Citywide","1","0","-","-","New York City","New York City","389,000","6.0 (5.4, 6.6)","5.9 (5.3, 6.6)"
"2015","Borough","1","1","1","Bronx","Bronx","Bronx","81,000","7.8 (6.5, 9.4)","7.7 (6.5, 9.3)"
"2015","Borough","3","1","3","Manhattan","Manhattan","Manhattan","81,000","6.1 (4.8, 7.8)","6.1 (4.8, 7.7)"
"2015","Borough","5","1","5","Staten Island","Staten Island","Staten Island","21,000","5.8 (3.6, 9.3)","5.6 (3.3, 9.1)"
"2015","Borough","4","1","4","Queens","Queens","Queens","99,000","5.5 (4.3, 7.0)","5.4 (4.2, 6.9)"
"2015","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","106,000","5.4 (4.5, 6.6)","5.3 (4.4, 6.5)"
"2014","Citywide","1","0","-","-","New York City","New York City","238,000","3.7 (3.2, 4.3)","3.7 (3.2, 4.2)"
"2014","Borough","5","1","5","Staten Island","Staten Island","Staten Island","17,000","4.8 (3.2, 7.2)","5.0 (3.3, 7.6)"
"2014","Borough","1","1","1","Bronx","Bronx","Bronx","48,000","4.7 (3.5, 6.3)","4.7 (3.5, 6.3)"
"2014","Borough","3","1","3","Manhattan","Manhattan","Manhattan","55,000","4.2 (3.0, 5.7)","4.1 (3.0, 5.6)"
"2014","Borough","4","1","4","Queens","Queens","Queens","59,000","3.3 (2.4, 4.5)","3.2 (2.4, 4.5)"
"2014","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","59,000","3.0 (2.3, 4.0)","3.0 (2.3, 3.9)"
"2013","Citywide","1","0","-","-","New York City","New York City","246,000","3.9 (3.4, 4.4)","3.9 (3.4, 4.4)"
"2013","Borough","1","1","1","Bronx","Bronx","Bronx","60,000","6.0 (4.6, 7.9)","6.3 (4.8, 8.3)"
"2013","Borough","3","1","3","Manhattan","Manhattan","Manhattan","56,000","4.3 (3.2, 5.7)","4.3 (3.2, 5.8)"
"2013","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","79,000","4.1 (3.2, 5.3)","4.2 (3.2, 5.3)"
"2013","Borough","4","1","4","Queens","Queens","Queens","44,000","2.5 (1.8, 3.4)","2.4 (1.8, 3.4)"
"2013","Borough","5","1","5","Staten Island","Staten Island","Staten Island","6,000*","1.8* (0.9, 3.5)","1.9* (0.9, 3.8)"
"2012","Citywide","1","0","-","-","New York City","New York City","290,000","4.6 (4.0, 5.3)","4.6 (4.0, 5.2)"
"2012","Borough","1","1","1","Bronx","Bronx","Bronx","76,000","7.7 (6.0, 9.9)","7.6 (5.9, 9.8)"
"2012","Borough","3","1","3","Manhattan","Manhattan","Manhattan","56,000","4.3 (3.1, 6.1)","4.3 (3.1, 5.9)"
"2012","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","82,000","4.3 (3.3, 5.6)","4.2 (3.3, 5.5)"
"2012","Borough","5","1","5","Staten Island","Staten Island","Staten Island","13,000*","3.6* (1.7, 7.4)","3.7* (1.7, 7.6)"
"2012","Borough","4","1","4","Queens","Queens","Queens","63,000","3.6 (2.7, 4.8)","3.6 (2.7, 4.8)"
"2011","Citywide","1","0","-","-","New York City","New York City","277,000","4.5 (3.7, 5.3)","4.4 (3.7, 5.3)"
"2011","Borough","1","1","1","Bronx","Bronx","Bronx","69,000","7.0 (4.9, 9.9)","7.2 (5.0, 10.1)"
"2011","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","86,000","4.6 (3.3, 6.4)","4.6 (3.2, 6.4)"
"2011","Borough","5","1","5","Staten Island","Staten Island","Staten Island","14,000*","4.1* (2.2, 7.5)","4.2* (2.1, 8.2)"
"2011","Borough","4","1","4","Queens","Queens","Queens","64,000","3.7 (2.5, 5.3)","3.6 (2.5, 5.2)"
"2011","Borough","3","1","3","Manhattan","Manhattan","Manhattan","44,000","3.4 (2.1, 5.4)","3.5 (2.2, 5.6)"
"2010","Citywide","1","0","-","-","New York City","New York City","226,000","3.7 (3.2, 4.3)","3.8 (3.3, 4.4)"
"2010","Borough","1","1","1","Bronx","Bronx","Bronx","54,000","5.9 (4.5, 7.6)","5.9 (4.7, 7.5)"
"2010","Borough","5","1","5","Staten Island","Staten Island","Staten Island","16,000","4.8 (2.9, 7.8)","4.7 (2.8, 7.6)"
"2010","Borough","3","1","3","Manhattan","Manhattan","Manhattan","56,000","4.4 (3.0, 6.4)","4.6 (3.2, 6.7)"
"2010","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","56,000","3.1 (2.3, 4.1)","3.1 (2.3, 4.1)"
"2010","Borough","4","1","4","Queens","Queens","Queens","44,000","2.6 (1.9, 3.4)","2.6 (1.9, 3.4)"
"2009","Citywide","1","0","-","-","New York City","New York City","248,000","4.1 (3.6, 4.7)","4.1 (3.6, 4.7)"
"2009","Borough","1","1","1","Bronx","Bronx","Bronx","61,000","6.6 (5.1, 8.5)","6.6 (5.1, 8.3)"
"2009","Borough","4","1","4","Queens","Queens","Queens","69,000","4.0 (3.1, 5.2)","4.1 (3.1, 5.3)"
"2009","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","71,000","4.0 (3.0, 5.2)","4.0 (3.0, 5.2)"
"2009","Borough","5","1","5","Staten Island","Staten Island","Staten Island","13,000","4.0 (2.7, 6.0)","4.0 (2.6, 6.1)"
"2009","Borough","3","1","3","Manhattan","Manhattan","Manhattan","33,000","2.6 (1.8, 3.8)","2.7 (1.9, 3.8)"
"2008","Citywide","1","0","-","-","New York City","New York City","322,000","5.3 (4.6, 6.1)","5.3 (4.6, 6.1)"
"2008","Borough","1","1","1","Bronx","Bronx","Bronx","76,000","8.2 (6.1, 10.9)","8.1 (6.2, 10.6)"
"2008","Borough","3","1","3","Manhattan","Manhattan","Manhattan","76,000","6.0 (4.4, 8.0)","6.0 (4.4, 8.0)"
"2008","Borough","4","1","4","Queens","Queens","Queens","83,000","4.8 (3.6, 6.4)","4.8 (3.6, 6.4)"
"2008","Borough","5","1","5","Staten Island","Staten Island","Staten Island","17,000","5.0 (3.1, 8.0)","4.8 (3.0, 7.6)"
"2008","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","70,000","3.9 (3.0, 5.1)","3.9 (3.0, 5.1)"
"2007","Citywide","1","0","-","-","New York City","New York City","266,000","4.4 (3.9, 4.9)","4.4 (3.9, 5.0)"
"2007","Borough","5","1","5","Staten Island","Staten Island","Staten Island","18,000","5.3 (3.6, 7.9)","5.3 (3.5, 8.0)"
"2007","Borough","1","1","1","Bronx","Bronx","Bronx","46,000","5.0 (3.9, 6.4)","5.1 (4.0, 6.5)"
