city,year,ridership
"Houston, TX",2002,95292940.0
"New York--Jersey City--Newark, NY--NJ",2002,3736630351.0
"San Francisco--Oakland, CA",2002,433640718.0
"Houston, TX",2003,90937669.0
"New York--Jersey City--Newark, NY--NJ",2003,3657666247.0
"San Francisco--Oakland, CA",2003,436598929.0
"Houston, TX",2004,95992059.0
"New York--Jersey City--Newark, NY--NJ",2004,3802576386.0
"San Francisco--Oakland, CA",2004,423249674.0
"Houston, TX",2005,97380271.0
"New York--Jersey City--Newark, NY--NJ",2005,3895267742.0
"San Francisco--Oakland, CA",2005,422616115.0
"Houston, TX",2006,102681747.0
"New York--Jersey City--Newark, NY--NJ",2006,3948245425.0
"San Francisco--Oakland, CA",2006,428725727.0
"Houston, TX",2007,101711843.0
"New York--Jersey City--Newark, NY--NJ",2007,4047744041.0
"San Francisco--Oakland, CA",2007,429549312.0
"Houston, TX",2008,96583331.0
"New York--Jersey City--Newark, NY--NJ",2008,4147642138.0
"San Francisco--Oakland, CA",2008,444411545.0
"Houston, TX",2009,85673389.0
"New York--Jersey City--Newark, NY--NJ",2009,4011982408.0
"San Francisco--Oakland, CA",2009,447296041.0
"Houston, TX",2010,81206219.0
"New York--Jersey City--Newark, NY--NJ",2010,4083967780.0
"San Francisco--Oakland, CA",2010,415310459.0
"Houston, TX",2011,81928229.0
"New York--Jersey City--Newark, NY--NJ",2011,4114454266.0
"San Francisco--Oakland, CA",2011,427155883.0
"Houston, TX",2012,82222674.0
"New York--Jersey City--Newark, NY--NJ",2012,4178127209.0
"San Francisco--Oakland, CA",2012,440216557.0
"Houston, TX",2013,84550978.0
"New York--Jersey City--Newark, NY--NJ",2013,4281824153.0
"San Francisco--Oakland, CA",2013,443414066.0
"Houston, TX",2014,86253694.0
"New York--Jersey City--Newark, NY--NJ",2014,4382514637.0
"San Francisco--Oakland, CA",2014,465565573.0
"Houston, TX",2015,87726881.0
"New York--Jersey City--Newark, NY--NJ",2015,4264746475.0
"San Francisco--Oakland, CA",2015,461732698.0
"Houston, TX",2016,89495225.0
"New York--Jersey City--Newark, NY--NJ",2016,4289902357.0
"San Francisco--Oakland, CA",2016,463289821.0
"Houston, TX",2017,89446862.0
"New York--Jersey City--Newark, NY--NJ",2017,4251568066.0
"San Francisco--Oakland, CA",2017,450532288.0
"Houston, TX",2018,90319661.0
"New York--Jersey City--Newark, NY--NJ",2018,4195425428.0
"San Francisco--Oakland, CA",2018,450195797.0
"Houston, TX",2019,90600933.0
"New York--Jersey City--Newark, NY--NJ",2019,4294356228.0
"San Francisco--Oakland, CA",2019,444902197.0
"Houston, TX",2020,53972756.0
"New York--Jersey City--Newark, NY--NJ",2020,1898450672.0
"San Francisco--Oakland, CA",2020,167501313.0
"Houston, TX",2021,47345733.0
"New York--Jersey City--Newark, NY--NJ",2021,2123008341.0
"San Francisco--Oakland, CA",2021,148097652.0
"Houston, TX",2022,60469324.0
"New York--Jersey City--Newark, NY--NJ",2022,2822360176.0
"San Francisco--Oakland, CA",2022,220960364.0
"Houston, TX",2023,71571861.0
"New York--Jersey City--Newark, NY--NJ",2023,3269419470.0
"San Francisco--Oakland, CA",2023,269155557.0
"Houston, TX",2024,77782634.0
"New York--Jersey City--Newark, NY--NJ",2024,3587627537.0
"San Francisco--Oakland, CA",2024,292720697.0
"Houston, TX",2025,78805312.0
"New York--Jersey City--Newark, NY--NJ",2025,3704149669.0
"San Francisco--Oakland, CA",2025,309329976.0
