Year,Geography,Source,Metric,Current_Smoker_Pct,Statistically_Unstable
2014,"Houston, TX",Houston State of Health / BRFSS,Current Smoker (%),17.0,False
2015,"Houston, TX",Houston State of Health / BRFSS,Current Smoker (%),17.6,False
2016,"Houston, TX",Houston State of Health / BRFSS,Current Smoker (%),16.5,False
2017,"Houston, TX",Houston State of Health / BRFSS,Current Smoker (%),17.5,False
2018,"Houston, TX",Houston State of Health / BRFSS,Current Smoker (%),17.1,False
2019,"Houston, TX",Houston State of Health / BRFSS,Current Smoker (%),18.1,False
2020,"Houston, TX",Houston State of Health / BRFSS,Current Smoker (%),17.7,False
2021,"Houston, TX",Houston State of Health / BRFSS,Current Smoker (%),17.2,False
2022,"Houston, TX",Houston State of Health / BRFSS,Current Smoker (%),15.1,False
2023,"Houston, TX",Houston State of Health / BRFSS,Current Smoker (%),13.6,False
2002,"New York City, NY",NYC EH Data Portal,Current Smoker % (Adults),21.7,False
2003,"New York City, NY",NYC EH Data Portal,Current Smoker % (Adults),19.6,False
2004,"New York City, NY",NYC EH Data Portal,Current Smoker % (Adults),18.5,False
2005,"New York City, NY",NYC EH Data Portal,Current Smoker % (Adults),19.1,False
2006,"New York City, NY",NYC EH Data Portal,Current Smoker % (Adults),17.6,False
2007,"New York City, NY",NYC EH Data Portal,Current Smoker % (Adults),17.1,False
2008,"New York City, NY",NYC EH Data Portal,Current Smoker % (Adults),15.9,False
2009,"New York City, NY",NYC EH Data Portal,Current Smoker % (Adults),16.0,False
2010,"New York City, NY",NYC EH Data Portal,Current Smoker % (Adults),14.2,False
2011,"New York City, NY",NYC EH Data Portal,Current Smoker % (Adults),15.0,False
2012,"New York City, NY",NYC EH Data Portal,Current Smoker % (Adults),15.6,False
2013,"New York City, NY",NYC EH Data Portal,Current Smoker % (Adults),16.2,False
2014,"New York City, NY",NYC EH Data Portal,Current Smoker % (Adults),14.0,False
2015,"New York City, NY",NYC EH Data Portal,Current Smoker % (Adults),14.4,False
2016,"New York City, NY",NYC EH Data Portal,Current Smoker % (Adults),13.3,False
2017,"New York City, NY",NYC EH Data Portal,Current Smoker % (Adults),13.5,False
2018,"New York City, NY",NYC EH Data Portal,Current Smoker % (Adults),12.9,False
2019,"New York City, NY",NYC EH Data Portal,Current Smoker % (Adults),12.0,False
2020,"New York City, NY",NYC EH Data Portal,Current Smoker % (Adults),11.0,False
2021,"New York City, NY",NYC EH Data Portal,Current Smoker % (Adults),9.2,False
2022,"New York City, NY",NYC EH Data Portal,Current Smoker % (Adults),8.8,False
2003,"San Francisco County, CA",CA Health Interview Survey (CHIS),Current Smoker (%),14.6,False
2005,"San Francisco County, CA",CA Health Interview Survey (CHIS),Current Smoker (%),13.7,False
2007,"San Francisco County, CA",CA Health Interview Survey (CHIS),Current Smoker (%),12.5,False
2009,"San Francisco County, CA",CA Health Interview Survey (CHIS),Current Smoker (%),11.5,False
2011,"San Francisco County, CA",CA Health Interview Survey (CHIS),Current Smoker (%),13.9,False
2012,"San Francisco County, CA",CA Health Interview Survey (CHIS),Current Smoker (%),12.8,False
2014,"San Francisco County, CA",CA Health Interview Survey (CHIS),Current Smoker (%),10.7,False
2015,"San Francisco County, CA",CA Health Interview Survey (CHIS),Current Smoker (%),9.5,False
2018,"San Francisco County, CA",CA Health Interview Survey (CHIS),Current Smoker (%),12.1,False
2019,"San Francisco County, CA",CA Health Interview Survey (CHIS),Current Smoker (%),5.5,False
2020,"San Francisco County, CA",CA Health Interview Survey (CHIS),Current Smoker (%),4.7,False
2021,"San Francisco County, CA",CA Health Interview Survey (CHIS),Current Smoker (%),5.6,False
2022,"San Francisco County, CA",CA Health Interview Survey (CHIS),Current Smoker (%),5.6,False
2023,"San Francisco County, CA",CA Health Interview Survey (CHIS),Current Smoker (%),5.5,False
